X, Y, Z
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.2397461, 0.04077148, -1.036407
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1274414, 0.1091309, -0.893341
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1804199, 0.06689453, -1.006866
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.1577148, 0.08349609, -0.9673156
-0.171875, 0.07666016, -0.980011
-0.171875, 0.07666016, -0.980011
-0.171875, 0.07666016, -0.980011
-0.171875, 0.07666016, -0.980011
-0.171875, 0.07666016, -0.980011
-0.171875, 0.07666016, -0.980011
-0.171875, 0.07666016, -0.980011
-0.171875, 0.07666016, -0.980011
-0.171875, 0.07666016, -0.980011
