X, Y, Z
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
0.02929687, -0.7363586, -0.8188782
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.03149414, -0.717804, -0.6948547
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.06933594, -0.76297, -0.6330872
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
-0.0300293, -0.7173157, -0.6704407
