X, Y, Z
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.03320313, -0.1794434, -0.9709778
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01074219, -0.1816406, -0.9714661
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01293945, -0.1826172, -0.971222
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01196289, -0.1728516, -0.966095
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01831055, -0.1723633, -0.9709778
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1726074, -0.9743958
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01635742, -0.1713867, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01391602, -0.173584, -0.9731751
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
-0.01293945, -0.171875, -0.9739075
0.08740234, -0.2185059, -1.062042
0.08740234, -0.2185059, -1.062042
0.08740234, -0.2185059, -1.062042
0.08740234, -0.2185059, -1.062042
0.08740234, -0.2185059, -1.062042
0.08740234, -0.2185059, -1.062042
0.08740234, -0.2185059, -1.062042
0.08740234, -0.2185059, -1.062042
0.08740234, -0.2185059, -1.062042
0.08740234, -0.2185059, -1.062042
0.08740234, -0.2185059, -1.062042
0.08740234, -0.2185059, -1.062042
