X, Y, Z
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.02368164, -0.2404785, -0.9402161
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01806641, -0.2316894, -0.9668273
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.01586914, -0.2431641, -0.9741517
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02172852, -0.2277832, -0.9543762
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.02050781, -0.2331543, -0.9602356
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.01855469, -0.2331543, -0.9599914
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
-0.0007324219, -0.2319336, -0.9946594
