X, Y, Z
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.08642578, -0.1442871, -1.00174
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.07177734, -0.171875, -0.9309387
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.09301758, -0.2167969, -0.9680481
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08569336, -0.2080078, -0.974884
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08300781, -0.2033691, -0.9631653
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08056641, -0.1962891, -0.9563293
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08422852, -0.1914063, -0.9617004
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08666992, -0.1901855, -0.9682922
0.08496094, -0.1921387, -0.9673156
0.08496094, -0.1921387, -0.9673156
0.08496094, -0.1921387, -0.9673156
0.08496094, -0.1921387, -0.9673156
0.08496094, -0.1921387, -0.9673156
0.08496094, -0.1921387, -0.9673156
0.08496094, -0.1921387, -0.9673156
