X, Y, Z
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.06396484, -0.2006836, -1.083038
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.04296875, -0.126709, -0.9265442
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.0612793, -0.1416016, -0.9941711
0.05541992, -0.1325684, -0.9856262
0.05541992, -0.1325684, -0.9856262
0.05541992, -0.1325684, -0.9856262
0.05541992, -0.1325684, -0.9856262
0.05541992, -0.1325684, -0.9856262
0.05541992, -0.1325684, -0.9856262
0.05541992, -0.1325684, -0.9856262
0.05541992, -0.1325684, -0.9856262
0.05541992, -0.1325684, -0.9856262
0.05541992, -0.1325684, -0.9856262
0.05541992, -0.1325684, -0.9856262
0.05541992, -0.1325684, -0.9856262
