X, Y, Z
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.03125, -0.2363281, -0.9907532
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.009521484, -0.1594238, -0.910675
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
-0.01855469, -0.1726074, -0.9387512
0.0002441406, -0.1867676, -0.9756165
0.0002441406, -0.1867676, -0.9756165
0.0002441406, -0.1867676, -0.9756165
0.0002441406, -0.1867676, -0.9756165
0.0002441406, -0.1867676, -0.9756165
0.0002441406, -0.1867676, -0.9756165
0.0002441406, -0.1867676, -0.9756165
0.0002441406, -0.1867676, -0.9756165
0.0002441406, -0.1867676, -0.9756165
0.0002441406, -0.1867676, -0.9756165
0.0002441406, -0.1867676, -0.9756165
0.0002441406, -0.1867676, -0.9756165
