X, Y, Z
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.1237793, -0.1123047, -1.030792
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.06054688, -0.348877, -0.9995422
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.08081055, -0.1967773, -0.9529114
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07250977, -0.2600098, -0.9570617
-0.07128906, -0.2358398, -0.9531555
-0.07128906, -0.2358398, -0.9531555
-0.07128906, -0.2358398, -0.9531555
-0.07128906, -0.2358398, -0.9531555
